date,rate
1996-04-15,7.499500
1996-04-16,7.473600
1996-04-17,7.431500
1996-04-18,7.427600
1996-04-19,7.441000
1996-04-22,7.405300
1996-04-23,7.377600
1996-04-24,7.417500
1996-04-25,7.433000
1996-04-26,7.379400
1996-04-29,7.404200
1996-04-30,7.452600
1996-05-02,7.446200
1996-05-03,7.469200
1996-05-06,7.474900
1996-05-07,7.528300
1996-05-08,7.512000
1996-05-09,7.482800
1996-05-10,7.476200
1996-05-13,7.446900
1996-05-14,7.443400
1996-05-15,7.407500
1996-05-16,7.446700
1996-05-17,7.417900
1996-05-20,7.401900
1996-05-21,7.412400
1996-05-22,7.394000
1996-05-23,7.386100
1996-05-24,7.382300
1996-05-27,7.398800
1996-05-28,7.384000
1996-05-29,7.385000
1996-05-30,7.409500
1996-05-31,7.436700
1996-06-03,7.420800
1996-06-04,7.474700
1996-06-05,7.431300
1996-06-06,7.465100
1996-06-07,7.501700
1996-06-10,7.527800
1996-06-11,7.514900
1996-06-12,7.630800
1996-06-13,7.574300
1996-06-14,7.634300
1996-06-17,7.593500
1996-06-18,7.584300
1996-06-19,7.555200
1996-06-20,7.526800
1996-06-21,7.550600
1996-06-24,7.574300
1996-06-25,7.635200
1996-06-26,7.607700
1996-06-27,7.610800
1996-06-28,7.632300
1996-07-01,7.581400
1996-07-02,7.621500
1996-07-03,7.584200
1996-07-04,7.592500
1996-07-05,7.609300
1996-07-08,7.631800
1996-07-09,7.668800
1996-07-10,7.638300
1996-07-11,7.618300
1996-07-12,7.642900
